dropped,spearman_Qlin,spearman_Qresolved
fineweb_edu,0.9977675269273311,0.9969216102057448
qurater,0.998504683592106,0.9958873047200191
modernbert_reasoning,0.9956907159425005,0.9906849395629301
modernbert_professionalism,0.9982330007346534,0.9964406861522724
fluency_en,0.992354906323086,0.9889127262023492
modernbert_readability,0.9967534365865094,0.9919583113185753
modernbert_cleanliness,0.9955179508115513,0.9938963466461987
ad_en,0.9985660216661464,0.9980833822084495
dsir_books,0.9995413483898646,0.9999929556005412
dsir_wiki,0.9995401492360081,0.9999928627770852
dsir_math,0.9996104022060524,0.9999673105750589
rps_doc_word_count,0.9991615144916326,0.9986206875837044
rps_doc_num_sentences,0.9984285395895475,0.998365000356466
rps_doc_unigram_entropy,0.9985044811713059,0.9982096091505799
rps_doc_frac_unique_words,0.9966845804860659,0.9979093244453717
rps_doc_frac_no_alph_words,0.9962062190443066,0.9972900552725161
rps_doc_frac_chars_top_2gram,0.9985656293811543,0.9992269290490988
rps_doc_frac_chars_top_3gram,0.9983853754277703,0.9992264352017706
rps_lines_uppercase_letter_fraction,0.9962879474202432,0.9980180169410313
rps_lines_ending_with_terminal_punctution_mark,0.9960682593393874,0.9962636626491934
rps_lines_numerical_chars_fraction,0.9979199845070401,0.9974329539934053
rps_doc_mean_word_length,0.9987964654163187,0.9986312567566046
