set,,A1,A1,A1,A1,A1,A1,A1,A2,A3
domain,,arxiv,book,c4,commoncrawl,github,stackexchange,wikipedia,arxiv,github
fineweb_edu,mean,2.1768456375340577,1.4473609844146416,1.0990227665238081,1.3985750741074132,1.1413132082864643,1.555039141703397,1.2111418139174581,2.148264652953051,1.1424671920027232
fineweb_edu,median,2.1787147521972656,1.413538694381714,0.9851182103157043,1.2250388860702515,1.1357712149620056,1.47291898727417,1.1078880429267883,2.141411781311035,1.139944612979889
qurater,mean,4.489192692188833,0.6686781219571655,0.3109160028472543,0.7485750015902322,-0.6601578682184219,0.12038901449739933,-0.3338295447260141,4.494736330738141,-0.6601164674855828
qurater,median,4.695068359375,0.1995849609375,0.3633880615234375,0.748748779296875,-0.58642578125,0.022064208984375,-0.5772705078125,4.698974609375,-0.5952072143554688
modernbert_reasoning,mean,4.978756101931153,3.0399202206719433,1.40612056833747,1.9169945677637903,1.1551683055584359,2.6638357516929014,1.2445548636005104,4.966795197819232,1.1520238082657044
modernbert_reasoning,median,4.999945646880896,2.9285084418380087,1.0226954753975719,1.3698728714496156,1.0075049982099744,2.177892387011415,1.0100674195914707,4.999950944247634,1.0009215021929347
modernbert_professionalism,mean,4.992023601928722,2.416151170143358,1.6868422621840884,2.1711233238606473,4.252481598617805,3.855432546870868,1.9712935269459158,4.987471705307325,4.245991868593294
modernbert_professionalism,median,4.999919410682701,2.1229627285560237,1.2838815188601451,1.9398812032401227,4.4282877781907395,3.911719567968686,1.7728189974356732,4.999920049985889,4.400656800688791
fluency_en_p1,mean,0.9727937284530525,0.7154148418968357,0.8651950045312516,0.8459134794361853,0.5468386214878275,0.782118137451027,0.6893546062770731,0.971441789717903,0.5474301034288397
fluency_en_p1,median,0.9946045911050544,0.825237900842036,0.9939847375745068,0.9839708235153939,0.5602075414560852,0.8941210679978508,0.7943849604299823,0.9945730566510748,0.5607939212485697
modernbert_readability,mean,4.7115214279217295,4.462686529438496,3.7443801817907,4.466669957515948,2.8451209132610558,3.613781038020875,3.985616345034865,4.7101426699614315,2.843318369437871
modernbert_readability,median,4.760170701670982,4.492983244783838,4.123643543075691,4.6642743597969805,2.8743768382757047,3.9616140938332847,4.141530188712844,4.755634384396686,2.870753692122037
modernbert_cleanliness,mean,4.962451269496623,4.306408387702373,4.010202088653287,3.984062275928224,2.0595010352082754,4.1421464564507895,3.7745634935859393,4.9621130812646586,2.0547538797823504
modernbert_cleanliness,median,4.99748053727895,4.748160317359084,4.010806395696355,4.010476597531463,1.9999393094807372,4.000968903113183,3.98423867348443,4.997438579924913,1.99983148116669
ad_prob,mean,0.010457533915332816,0.07075972207680116,0.24792540844114583,0.11027000226251338,0.024537635638310785,0.010419630173142073,0.023166497628885473,0.01147036750972831,0.023627996918139937
ad_prob,median,0.0011695102650556288,0.013584392513058985,0.05649605744315356,0.025553055673665892,0.005149607466075179,0.0018895386578400286,0.0027308967130108552,0.001242417358103598,0.005060332031965986
dsir_books_pw,mean,-7.733905544850906,-0.9671388315535878,-6.596477520050238,-4.792117058525595,-21.671763671975842,-10.267245900243424,-8.668181060010042,-7.587487410163998,-21.693839915187162
dsir_books_pw,median,-6.444586661722855,-0.6454502306605266,-6.463792617586808,-4.670951047922381,-19.75586079705839,-9.242920577971015,-8.492402252251498,-6.479790904737864,-19.744019084389564
dsir_wiki_pw,mean,-7.639467921640526,-1.3341683034273994,-6.744069268210858,-4.818812310169278,-21.719823556012734,-10.53826257630178,-8.59888251323389,-7.49559871290223,-21.739265345713925
dsir_wiki_pw,median,-6.356383024101301,-1.0916642178109812,-6.6006528842547585,-4.709899957323181,-19.78621791789658,-9.525041827231593,-8.419891827718855,-6.378338081745086,-19.77493479615012
dsir_math_pw,mean,-5.2457557875069964,-1.5794771609813192,-6.861980221378427,-5.0985511880949375,-20.478387571948392,-9.750193397794243,-8.832340285790032,-5.112690267158292,-20.518434190783903
dsir_math_pw,median,-4.387341028183629,-1.343449971028504,-6.734564661061361,-5.011240759275175,-18.544730536636365,-8.8454655709009,-8.655944171117751,-4.356420447933377,-18.53219933950816
log_word_count,mean,8.54673510500915,10.899723156809713,5.383518631189383,6.566908444382511,4.738003613719094,5.419138405911469,5.152381544578915,8.59569024349915,4.724942422131364
log_word_count,median,8.577347114235984,11.142209549188882,5.3230099791384085,6.492239835020471,4.74493212836325,5.407171771460119,5.1647859739235145,8.633731007664188,4.718498871295094
