indicator,dimension,type,sd_balanced,sum_1_minus_r,entropy_e,w_entropy,w_critic,w_combined,w_structural_equal
fineweb_edu,D1语义价值,pos,0.22183775261605673,12.753184072055424,0.9068136325189129,0.055963589999799966,0.03891818217781303,0.047305448661040764,0.0625
qurater,D1语义价值,pos,0.2912878737236828,11.241576110880976,0.8891766670641451,0.06655556745563958,0.0450451536173477,0.05550068468747734,0.0625
modernbert_reasoning,D1语义价值,pos,0.4101114220783053,10.969267742583105,0.8649557958481093,0.08110154604469971,0.061883941065669024,0.07181012090814844,0.0625
modernbert_professionalism,D1语义价值,pos,0.20481840139649324,14.073729780585227,0.9351933993515832,0.0389199635741232,0.0396530540596017,0.03982049396014078,0.0625
fluency_en,D2语言规范,pos,0.31555258384202545,12.987948943171423,0.910348740721638,0.053840561155453305,0.05637814407218972,0.05584602749284886,0.0625
modernbert_readability,D2语言规范,pos,0.2953041098757076,11.562335966698477,0.9081307589765427,0.05517258239809637,0.04696924048892251,0.05160009891199131,0.0625
modernbert_cleanliness,D2语言规范,pos,0.39824327370300117,11.320848613649478,0.8713884650208706,0.07723837088378542,0.062019162028446366,0.07015548137342917,0.0625
ad_en,D2语言规范,neg,0.15158135169521747,19.954840682531145,0.9460893471024898,0.03237634170030416,0.041609500465540766,0.03720422377232216,0.0625
dsir_books,D3参考域相似,pos,0.19571998315685277,11.245213312002972,0.9294758702918137,0.042353657372497994,0.030276197493017482,0.03629762701511837,0.08333333333333333
dsir_wiki,D3参考域相似,pos,0.19630382844691371,11.230734799701269,0.9293104545866905,0.0424529986919557,0.030327415639726393,0.036370895761137355,0.08333333333333333
dsir_math,D3参考域相似,pos,0.2012577360761192,10.887786626965124,0.9278672738890315,0.043319708866872725,0.030143289598434115,0.03662858966189583,0.08333333333333333
rps_doc_word_count,D4统计启发式,interval,0.18260406643240007,15.22923717778155,0.9413863844955183,0.03520073198651597,0.03825489874316531,0.03719644930820284,0.022727272727272728
rps_doc_num_sentences,D4统计启发式,interval,0.18696838669688257,17.240927331707347,0.9428361232224037,0.03433008335076228,0.0443432238138954,0.03954878721737538,0.022727272727272728
rps_doc_unigram_entropy,D4统计启发式,pos,0.2559665493050962,11.051675533403177,0.9111515674871701,0.05335841908723476,0.038914351861505124,0.04618899225628855,0.022727272727272728
rps_doc_frac_unique_words,D4统计启发式,pos,0.19301035398037872,20.627462863651097,0.9464821377585038,0.03214044909258578,0.05476774792147296,0.04252756541004486,0.022727272727272728
rps_doc_frac_no_alph_words,D4统计启发式,neg,0.2119675390510812,17.847936598904166,0.9330077903336583,0.04023254319585636,0.052042222357641804,0.04638192501938049,0.022727272727272728
rps_doc_frac_chars_top_2gram,D4统计启发式,neg,0.17168809374030575,16.358561741355658,0.9406408521281722,0.03564846558602777,0.038635252764005056,0.037617887990399126,0.022727272727272728
rps_doc_frac_chars_top_3gram,D4统计启发式,neg,0.16781891246789657,17.22799930735118,0.9420036278699131,0.03483004305348361,0.039771705026591414,0.037726474254726944,0.022727272727272728
rps_lines_uppercase_letter_fraction,D4统计启发式,neg,0.21083851145269755,19.824783273109947,0.9387112302025079,0.03680731073925704,0.05749854451869921,0.04663130600223113,0.022727272727272728
rps_lines_ending_with_terminal_punctution_mark,D4统计启发式,pos,0.20669046830311869,17.96947271941536,0.9210924020032752,0.047388395765657385,0.051092157786856586,0.04987641560958649,0.022727272727272728
rps_lines_numerical_chars_fraction,D4统计启发式,neg,0.18663167228759817,25.322544497079942,0.9566582306126225,0.026029140070873185,0.06501164455248336,0.041697267496355085,0.022727272727272728
rps_doc_mean_word_length,D4统计启发式,interval,0.1662955919150202,15.931563444607072,0.9421543435285221,0.03473952992851759,0.03644496994697498,0.03606723722985864,0.022727272727272728
