,0
arxiv,0.10946801558842917
freelaw,0.08953132186759533
nih_exporter,0.005889999370846919
pubmed_central,0.11711611319117145
wikipedia_en,0.07679743324623653
dm_mathematics,0.02688308945102594
github,0.11527333361927011
philpapers,0.005411125558516551
stackexchange,0.09992081338665915
enron_emails,0.0022591816301773624
gutenberg_pg_19,0.04831689274725026
pile_cc,0.1163173355471893
ubuntu_irc,0.019849953717925813
europarl,0.013190570576807994
hackernews,0.01166198521190389
pubmed_abstracts,0.06678299322638713
uspto_backgrounds,0.07532984206260705
