target,domain,cox_effect_plus0_1,ci_low,ci_high,significant,beta_linear,gamma_log,eps
loss_arxiv,arxiv,-0.18600347526742755,-0.1973252886485775,-0.17551090202138367,True,2.995683266952902,-0.22608903028610258,0.0001
loss_arxiv,freelaw,0.10244727456336555,0.07218208427226505,0.13230564772011372,True,4.147033225588867,-0.013578960210147257,0.0001
loss_arxiv,nih_exporter,0.16355836533786494,-0.203453726690912,0.4811829701928348,False,4.734487649280336,1.3298572366815102e-05,0.0001
loss_arxiv,pubmed_central,-0.010481533115841657,-0.0197475646812161,-0.00032526844582774194,True,3.221494328876695,-0.031873485185460536,0.0001
loss_arxiv,wikipedia_en,0.06823442306378347,0.045753205766914995,0.08975647232316115,True,3.866445251823351,-0.014741490605072951,0.0001
loss_arxiv,dm_mathematics,-0.018694954437676436,-0.06010002740526227,0.01973775717470458,False,2.8115353264975838,0.007137803929685624,0.0001
loss_arxiv,github,0.04660416793561417,0.03594738634414113,0.058046636624064264,True,3.548498885422541,-0.004480119425328394,0.0001
loss_arxiv,philpapers,-0.16431742768874757,-0.43089485205525235,0.09364249264280981,False,1.4600995105682275,0.0004789515099954413,0.0001
loss_arxiv,stackexchange,-0.05968792349863161,-0.0722120582600784,-0.046766363351143966,True,2.9605477560032565,-0.053550150586364066,0.0001
loss_arxiv,enron_emails,0.49811245857760067,-0.26674908424025484,1.220334074707629,False,7.970598394249389,0.0028032182791799935,0.0001
loss_arxiv,gutenberg_pg_19,0.07347942107209704,0.04193718686053429,0.10970090417972253,True,3.913518354985496,-0.0090569453916598,0.0001
loss_arxiv,pile_cc,0.049736293953360544,0.03746501450012629,0.06336871429913776,True,3.5775757800850054,-0.004801816650887266,0.0001
loss_arxiv,ubuntu_irc,0.017988828040092386,-0.0396480952448226,0.0979964880648778,False,3.124654077601747,0.008605724937223202,0.0001
loss_arxiv,europarl,-0.08938822940911972,-0.20115469043587256,0.019094497253096022,False,1.5789792107447704,0.029186962333580993,0.0001
loss_arxiv,hackernews,0.09208048655441203,-0.01715375382300557,0.2021657210351558,False,4.0214573098356885,-0.00011008495543644125,0.0001
loss_arxiv,pubmed_abstracts,0.028439022809545023,0.00920273706110213,0.04997452219159455,True,3.3840365394164946,-0.001135281483300796,0.0001
loss_arxiv,uspto_backgrounds,0.04867352076366771,0.026680284354246343,0.07249533357515793,True,3.550042858048379,0.0008577035766137442,0.0001
loss_freelaw,arxiv,0.06677354392723434,0.05910261975497959,0.07459954433439316,True,3.818173384422861,-0.003393592635498363,0.001
loss_freelaw,freelaw,-0.23575921310738313,-0.24038342475385455,-0.23219869532265838,True,3.5004632683593453,-0.3127065075256709,0.001
loss_freelaw,nih_exporter,0.1049926268539334,-0.004422040138005421,0.22379009763985644,False,4.494664983395031,-0.008806835040156138,0.001
loss_freelaw,pubmed_central,0.059962914158187,0.05479412102750447,0.06603584106897165,True,3.775607477729094,-0.00710199360056418,0.001
loss_freelaw,wikipedia_en,0.001959616632030148,-0.0038125541469920866,0.0072287025267324225,False,3.327577805127697,-0.012465810651479422,0.001
loss_freelaw,dm_mathematics,0.04986410896786175,0.02764218840463244,0.06870961194423028,True,3.652753079642331,0.002212002526666985,0.001
loss_freelaw,github,0.08062380387505286,0.07428310160926602,0.08702044719621653,True,4.006568985846337,-0.014206692419081962,0.001
loss_freelaw,philpapers,-0.02144972746878615,-0.1579019420071887,0.10690345218568578,False,2.9725021854639646,0.000596223829375236,0.001
loss_freelaw,stackexchange,0.0572703494983422,0.05031024404630513,0.06240319073686858,True,3.7679435751112043,-0.007136874564258532,0.001
loss_freelaw,enron_emails,-0.3897876310978514,-0.7620628755198681,-0.011056935054262924,True,-1.0412086515742383,0.010092326574327891,0.001
loss_freelaw,gutenberg_pg_19,0.018471686116646957,0.006900560968933789,0.02982686252102891,True,3.51751800347954,-0.012065256403572616,0.001
loss_freelaw,pile_cc,-0.0364662439964043,-0.04304874191584844,-0.030946066489394724,True,3.0329804716235764,-0.02383754290791676,0.001
loss_freelaw,ubuntu_irc,0.04152914376909589,0.014451548184552077,0.06216997769284425,True,3.463819212800856,0.008007547107266588,0.001
loss_freelaw,europarl,0.024395455031091196,-0.022854986982907704,0.07820344044456759,False,3.308827397972487,0.0062523148570548265,0.001
loss_freelaw,hackernews,0.015686849312668727,-0.036183652842212144,0.08062405591427593,False,3.3172193365352425,0.0018036157857444209,0.001
loss_freelaw,pubmed_abstracts,0.053848728276044255,0.04577412651501574,0.0613657641227088,True,3.7536591562790695,-0.005214135553443237,0.001
loss_freelaw,uspto_backgrounds,0.03932868833977121,0.03205186848859924,0.04641995621659849,True,3.546926660839587,0.002062592694460408,0.001
loss_pubmed_central,arxiv,0.022781846564872588,0.015105870893573048,0.029301904574293602,True,3.670485493575251,-0.019467230978556484,0.0001
loss_pubmed_central,freelaw,0.06920776659615235,0.058884365827403126,0.08143237641077405,True,4.054054524039355,-0.01128776775679655,0.0001
loss_pubmed_central,nih_exporter,-0.0697530126666388,-0.2251441756263979,0.0905399400695768,False,2.8061622128952965,-0.005506834375426557,0.0001
