point,N_B,domain,share,dL_dp_centered_1M_units,dL_dp_at_scale,scale_factor
p_ref,0.001,arxiv,0.1094680155884291,0.24753603769669974,0.3235943249278698,1.3072614716583715
p_ref,0.001,freelaw,0.0895313218675953,0.19299788641546023,0.25229870102242974,1.3072614716583715
p_ref,0.001,nih_exporter,0.0058899993708469,-0.8835025145839026,-1.1549687974288243,1.3072614716583715
p_ref,0.001,pubmed_central,0.1171161131911714,0.12537394252733014,0.1638965246158897,1.3072614716583715
p_ref,0.001,wikipedia_en,0.0767974332462365,0.03445386270241624,0.045040207260676125,1.3072614716583715
p_ref,0.001,dm_mathematics,0.0268830894510259,-1.4904051943840328,-1.948349287777752,1.3072614716583715
p_ref,0.001,github,0.1152733336192701,0.2199047030592225,0.2874729457457964,1.3072614716583715
p_ref,0.001,philpapers,0.0054111255585165,-0.1832485397654815,-0.23955375577307095,1.3072614716583715
p_ref,0.001,stackexchange,0.0999208133866591,-0.13563819745272276,-0.17731458961513513,1.3072614716583715
p_ref,0.001,enron_emails,0.0022591816301773,0.14412273670897058,0.18840610088960089,1.3072614716583715
p_ref,0.001,gutenberg_pg_19,0.0483168927472502,0.11265509444765609,0.14726966455745574,1.3072614716583715
p_ref,0.001,pile_cc,0.1163173355471893,-0.06510351659119173,-0.08510731890913652,1.3072614716583715
p_ref,0.001,ubuntu_irc,0.0198499537179258,-1.5882167033471895,-2.076214504930054,1.3072614716583715
p_ref,0.001,europarl,0.0131905705768079,0.43989177815456104,0.5750535732807494,1.3072614716583715
p_ref,0.001,hackernews,0.0116619852119038,-1.0424541689330482,-1.3627601710158213,1.3072614716583715
p_ref,0.001,pubmed_abstracts,0.0667829932263871,0.036384184405336306,0.04756364245080951,1.3072614716583715
p_ref,0.001,uspto_backgrounds,0.075329842062607,0.13294723480169823,0.17379679781977908,1.3072614716583715
p_ref,1.0,arxiv,0.1094680155884291,0.24753603769669974,0.10432582610399459,0.42145712226283044
p_ref,1.0,freelaw,0.0895313218675953,0.19299788641546023,0.08134033381146849,0.42145712226283044
p_ref,1.0,nih_exporter,0.0058899993708469,-0.8835025145839026,-0.372358427308506,0.42145712226283044
p_ref,1.0,pubmed_central,0.1171161131911714,0.12537394252733014,0.05283974102431405,0.42145712226283044
p_ref,1.0,wikipedia_en,0.0767974332462365,0.03445386270241624,0.014520825825399014,0.42145712226283044
p_ref,1.0,dm_mathematics,0.0268830894510259,-1.4904051943840328,-0.6281418842306689,0.42145712226283044
p_ref,1.0,github,0.1152733336192701,0.2199047030592225,0.09268040332340216,0.42145712226283044
p_ref,1.0,philpapers,0.0054111255585165,-0.1832485397654815,-0.07723140222842569,0.42145712226283044
p_ref,1.0,stackexchange,0.0999208133866591,-0.13563819745272276,-0.057165684367342116,0.42145712226283044
p_ref,1.0,enron_emails,0.0022591816301773,0.14412273670897058,0.06074155386600633,0.42145712226283044
p_ref,1.0,gutenberg_pg_19,0.0483168927472502,0.11265509444765609,0.0474792919141565,0.42145712226283044
p_ref,1.0,pile_cc,0.1163173355471893,-0.06510351659119173,-0.027438340751714106,0.42145712226283044
p_ref,1.0,ubuntu_irc,0.0198499537179258,-1.5882167033471895,-0.6693652413224659,0.42145712226283044
p_ref,1.0,europarl,0.0131905705768079,0.43989177815456104,0.18539552292810071,0.42145712226283044
p_ref,1.0,hackernews,0.0116619852119038,-1.0424541689330482,-0.43934973412941297,0.42145712226283044
p_ref,1.0,pubmed_abstracts,0.0667829932263871,0.036384184405336306,0.015334373655353192,0.42145712226283044
p_ref,1.0,uspto_backgrounds,0.075329842062607,0.13294723480169823,0.05603155899232456,0.42145712226283044
p_ref,70.0,arxiv,0.1094680155884291,0.24753603769669974,0.04472369823560025,0.1806755034610321
p_ref,70.0,freelaw,0.0895313218675953,0.19299788641546023,0.03486999029502836,0.1806755034610321
p_ref,70.0,nih_exporter,0.0058899993708469,-0.8835025145839026,-0.15962726163153446,0.1806755034610321
p_ref,70.0,pubmed_central,0.1171161131911714,0.12537394252733014,0.022652000187019874,0.1806755034610321
p_ref,70.0,wikipedia_en,0.0767974332462365,0.03445386270241624,0.006224968989936329,0.1806755034610321
p_ref,70.0,dm_mathematics,0.0268830894510259,-1.4904051943840328,-0.2692797088562725,0.1806755034610321
p_ref,70.0,github,0.1152733336192701,0.2199047030592225,0.03973139293867379,0.1806755034610321
p_ref,70.0,philpapers,0.0054111255585165,-0.1832485397654815,-0.03310852218062733,0.1806755034610321
p_ref,70.0,stackexchange,0.0999208133866591,-0.13563819745272276,-0.024506499613317564,0.1806755034610321
p_ref,70.0,enron_emails,0.0022591816301773,0.14412273670897058,0.02603944801507503,0.1806755034610321
p_ref,70.0,gutenberg_pg_19,0.0483168927472502,0.11265509444765609,0.020354015906780383,0.1806755034610321
p_ref,70.0,pile_cc,0.1163173355471893,-0.06510351659119173,-0.011762610637197222,0.1806755034610321
p_ref,70.0,ubuntu_irc,0.0198499537179258,-1.5882167033471895,-0.2869518524824741,0.1806755034610321
p_ref,70.0,europarl,0.0131905705768079,0.43989177815456104,0.07947766848644396,0.1806755034610321
