target,term,coef,ci_low,ci_high,significant,interpretation,in_sample_R2,test1M_R2_train_only,coef_at_0.001B,coef_at_1B,coef_at_70B,coef_at_1000B
L_avg,学术×代码数学,-2.950222013116738,-3.468129539378141,-2.550261538878458,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-5.585141583342825,-1.3783777115752125,-0.5909001742839458,-0.3494619408722649
L_avg,学术×网页通用,-1.941729494163299,-2.287567505412869,-1.5702735742613032,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-3.6759383169260995,-0.9071983887190249,-0.3889091368080613,-0.23000321828741555
L_avg,学术×问答对话,-2.769638590437576,-3.121803457604324,-2.410704504889714,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-5.243274436130317,-1.2940070561485175,-0.5547311078681005,-0.3280713359963466
L_avg,学术×法律专利,-2.022546173198608,-2.463778316119641,-1.508727759563488,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-3.8289344618606043,-0.9449568721858724,-0.4050959151300642,-0.23957617699525652
L_avg,学术×书籍议会,-3.2975200041421773,-4.785962727215148,-1.8962852460494624,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-6.242620390993106,-1.5406393339127757,-0.6604605133069047,-0.3906003465465453
L_avg,代码数学×网页通用,-2.429377348219599,-3.0040516667807826,-1.988971881309174,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-4.599117079611972,-1.1350330839183145,-0.4865801597581764,-0.28776645264165884
L_avg,代码数学×问答对话,-1.5481350602106514,-2.1560883510247675,-1.0760661734898531,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-2.930814515982435,-0.7233065349031663,-0.3100760799785149,-0.18338087115757937
L_avg,代码数学×法律专利,-2.8410796287801987,-3.5803744307541687,-2.0845967691868474,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-5.378521313223151,-1.3273851322748056,-0.5690400384570512,-0.33653372418480965
L_avg,代码数学×书籍议会,-3.0432870121451336,-4.451484489952567,-1.728972347014751,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-5.761325339587709,-1.4218587512455083,-0.609540169477907,-0.3604857468919957
L_avg,网页通用×问答对话,-2.622296395734891,-3.142312749944086,-2.1995792282850304,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-4.964337117190857,-1.2251670853768941,-0.525219929339127,-0.3106182463291107
L_avg,网页通用×法律专利,-1.7599805560012167,-2.271258363125086,-1.2359568917050032,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-3.3318647022136045,-0.8222831910317779,-0.352506629214255,-0.20847455488540423
L_avg,网页通用×书籍议会,-2.213940697904751,-3.610680324449996,-0.9713824536735032,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-4.191268385886584,-1.0343785990252619,-0.4434303379304603,-0.2622473867478653
L_avg,问答对话×法律专利,-3.338601820185452,-4.079311164318323,-2.6845523734104964,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-6.320393439286558,-1.5598332316375305,-0.6686887931285398,-0.39546660105390463
L_avg,问答对话×书籍议会,-3.845259064456592,-5.150591800134055,-2.4133107912341982,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-7.27955937015532,-1.7965493329365223,-0.7701672081803476,-0.45548155015020503
L_avg,法律专利×书籍议会,-3.1561885856947915,-4.603655417275849,-1.3570956651071664,True,互补(协同降Loss),0.5724683003668591,0.5222819972454666,-5.975062228016276,-1.4746076670527677,-0.6321532335764104,-0.3738592499181339
