指标A,指标B,Pearson_r,Spearman_rho
dsir_books,dsir_wiki,0.9870232705215846,0.9990023453296052
dsir_wiki,dsir_math,0.9712320130401652,0.9967936659153025
dsir_books,dsir_math,0.9447461225013518,0.9969390157198168
rps_doc_word_count,rps_doc_num_sentences,0.6698827007730597,0.5687015223951046
rps_doc_unigram_entropy,rps_doc_frac_unique_words,-0.6647451085466423,-0.6480033406276386
modernbert_cleanliness,modernbert_readability,0.6171172829526352,0.6491401993868205
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,0.5405852295715858,0.4841546527898986
rps_doc_unigram_entropy,modernbert_reasoning,0.5398627231018538,0.5709326676559773
rps_doc_frac_unique_words,modernbert_reasoning,-0.5344698273788782,-0.5292798917401851
modernbert_reasoning,modernbert_professionalism,0.5143380027368214,0.5255927937737022
dsir_math,rps_doc_frac_unique_words,0.5141905311927645,0.825709782344603
rps_lines_ending_with_terminal_punctution_mark,modernbert_professionalism,-0.5075935029151324,-0.5191213955818268
modernbert_reasoning,fineweb_edu,0.4871579589473107,0.5424656830603971
rps_doc_unigram_entropy,modernbert_readability,0.4711102159355628,0.482620051774212
dsir_wiki,rps_doc_frac_unique_words,0.46614002757446943,0.8225899005635021
dsir_books,rps_doc_frac_unique_words,0.464560296816393,0.8183946568292609
rps_doc_unigram_entropy,modernbert_cleanliness,0.45893835799028593,0.44434992662948747
fluency_en,modernbert_cleanliness,-0.453846508339498,-0.4856009291014306
modernbert_cleanliness,modernbert_reasoning,0.4370206022655202,0.48985832705015303
rps_doc_unigram_entropy,rps_doc_frac_chars_top_2gram,0.4304544538703154,0.3948559949438993
dsir_math,rps_doc_unigram_entropy,-0.4288309455887781,-0.8310749750627474
rps_lines_ending_with_terminal_punctution_mark,modernbert_cleanliness,0.41321934926135384,0.42454885807855913
rps_doc_frac_unique_words,fineweb_edu,-0.39111250828199184,-0.3749499475998494
rps_doc_num_sentences,rps_doc_unigram_entropy,0.39024440830645474,0.3805830733886182
rps_lines_uppercase_letter_fraction,ad_en,0.38156636083197076,0.400164637864099
dsir_wiki,rps_doc_unigram_entropy,-0.3812095452347369,-0.8076137833676642
dsir_books,modernbert_reasoning,-0.38084673718584033,-0.5533803244685193
dsir_books,rps_doc_unigram_entropy,-0.37910607849935374,-0.8045729312863071
dsir_math,modernbert_reasoning,-0.3723408401865617,-0.5453304550917086
qurater,fineweb_edu,0.3718887219336169,0.35727364387014626
dsir_wiki,modernbert_reasoning,-0.3718286976751342,-0.5631695798234044
fluency_en,modernbert_readability,-0.3593330650747787,-0.3926618441869376
rps_doc_unigram_entropy,fineweb_edu,0.3584306231818741,0.3209638484931525
dsir_math,rps_doc_word_count,0.3560274936814086,-0.18000079640527292
dsir_wiki,rps_doc_word_count,0.3519816871429022,-0.18040798478132059
modernbert_professionalism,ad_en,-0.34925153933461234,-0.3362381538162737
rps_lines_ending_with_terminal_punctution_mark,ad_en,0.34846488578535867,0.3231981193348818
dsir_books,rps_doc_word_count,0.3433341117828525,-0.1813066610227883
rps_doc_frac_no_alph_words,rps_lines_ending_with_terminal_punctution_mark,0.3413890129585067,0.5764094350508718
modernbert_professionalism,fineweb_edu,0.33434852926864045,0.38868061746749605
modernbert_readability,fineweb_edu,0.3310114579664217,0.3267355661358644
rps_doc_frac_unique_words,modernbert_readability,-0.3272228170965138,-0.3359777569049061
modernbert_readability,modernbert_reasoning,0.31260862166154463,0.3012582667474787
rps_doc_unigram_entropy,ad_en,0.30751877736840355,0.3351198356519563
rps_doc_frac_unique_words,modernbert_professionalism,-0.30295454459494686,-0.3242930316855189
modernbert_cleanliness,fineweb_edu,0.302419604316893,0.30360398795591353
dsir_books,modernbert_professionalism,-0.2847745697315543,-0.4795439299766437
rps_lines_ending_with_terminal_punctution_mark,rps_doc_mean_word_length,-0.2834164023445174,-0.2596280161401266
rps_doc_frac_no_alph_words,modernbert_professionalism,-0.27559675912047693,-0.483607902098763
