损失域,配比域,"corr(logp,loss_z)"
arxiv,arxiv,-0.8128300860836989
arxiv,freelaw,0.13109405070487012
arxiv,nih_exporter,0.04790163870398367
arxiv,pubmed_central,-0.15197891305222178
arxiv,wikipedia_en,0.02912692175963259
arxiv,dm_mathematics,0.1413266272421963
arxiv,github,0.13786239191501717
arxiv,philpapers,0.03158762318684795
arxiv,stackexchange,-0.1772835989450237
arxiv,enron_emails,0.020710572401272397
arxiv,gutenberg_pg_19,-0.04133900594365987
arxiv,pile_cc,0.17582169450899518
arxiv,ubuntu_irc,0.07066541015177454
arxiv,europarl,0.031271935733737426
arxiv,hackernews,0.10717992838229776
arxiv,pubmed_abstracts,0.004593897899852359
arxiv,uspto_backgrounds,0.09136473076122355
freelaw,arxiv,0.1395872485334911
freelaw,freelaw,-0.7970722770739014
freelaw,nih_exporter,0.023963708051029684
freelaw,pubmed_central,0.142107525866967
freelaw,wikipedia_en,0.06083507461655405
freelaw,dm_mathematics,0.11791732251721142
freelaw,github,0.2023095569407737
freelaw,philpapers,0.015000926114404789
freelaw,stackexchange,0.2285833190690196
freelaw,enron_emails,0.06730611621464055
freelaw,gutenberg_pg_19,-0.009269829363095373
freelaw,pile_cc,0.004860117537414858
freelaw,ubuntu_irc,0.14186111555421807
freelaw,europarl,0.04527379331481107
freelaw,hackernews,-0.003082544339141397
freelaw,pubmed_abstracts,0.15283793552685868
freelaw,uspto_backgrounds,0.0702436326560063
pubmed_central,arxiv,-0.0629409773945929
pubmed_central,freelaw,0.04850219664992258
pubmed_central,nih_exporter,0.0013193966675353421
pubmed_central,pubmed_central,-0.8650891718604097
pubmed_central,wikipedia_en,0.01106662843677211
pubmed_central,dm_mathematics,0.17065425111441232
pubmed_central,github,0.15596478000177041
pubmed_central,philpapers,0.039205440954750766
pubmed_central,stackexchange,0.06408577128898
pubmed_central,enron_emails,0.038534990559042685
pubmed_central,gutenberg_pg_19,0.0687116383283815
pubmed_central,pile_cc,0.19182792871590054
pubmed_central,ubuntu_irc,0.10356550538098777
pubmed_central,europarl,-0.010122126055989413
pubmed_central,hackernews,0.08204363154237138
pubmed_central,pubmed_abstracts,-0.15304594987579728
pubmed_central,uspto_backgrounds,0.038403012375517916
wikipedia_en,arxiv,0.1706138509637623
wikipedia_en,freelaw,0.09410162614501735
wikipedia_en,nih_exporter,0.028749552084078006
wikipedia_en,pubmed_central,0.17888065142135917
wikipedia_en,wikipedia_en,-0.6242543575319375
wikipedia_en,dm_mathematics,0.26129311140004785
wikipedia_en,github,0.29285427396589275
wikipedia_en,philpapers,0.08560251473530682
wikipedia_en,stackexchange,0.28984579567202
wikipedia_en,enron_emails,0.030159587725691325
wikipedia_en,gutenberg_pg_19,0.06998295667396533
wikipedia_en,pile_cc,-0.1645894235592361
wikipedia_en,ubuntu_irc,0.19798497863214723
wikipedia_en,europarl,0.05013137909157703
wikipedia_en,hackernews,0.13408327801244666
wikipedia_en,pubmed_abstracts,0.16692273975756663
wikipedia_en,uspto_backgrounds,0.07228839599773117
dm_mathematics,arxiv,-0.003454782368823287
dm_mathematics,freelaw,-0.06595298759634322
dm_mathematics,nih_exporter,-0.04377301740535373
dm_mathematics,pubmed_central,-0.030676957941648587
dm_mathematics,wikipedia_en,-0.06345841555585044
dm_mathematics,dm_mathematics,-0.9699095844426738
dm_mathematics,github,-0.09140239338677458
dm_mathematics,philpapers,-0.10878433156541267
dm_mathematics,stackexchange,-0.0917128972405665
dm_mathematics,enron_emails,-0.09136309835662103
dm_mathematics,gutenberg_pg_19,-0.013752200517071505
dm_mathematics,pile_cc,0.027472832274359833
dm_mathematics,ubuntu_irc,-0.11005454638533035
dm_mathematics,europarl,-0.03715484804764026
dm_mathematics,hackernews,-0.11409646235022691
dm_mathematics,pubmed_abstracts,-0.013382297944108302
dm_mathematics,uspto_backgrounds,-0.0830108425848216
github,arxiv,0.11927098478424439
github,freelaw,0.17366560346947385
github,nih_exporter,-0.009171430676556775
github,pubmed_central,0.1552469445923486
github,wikipedia_en,0.09104012782182078
github,dm_mathematics,0.06277399453384533
github,github,-0.761304932911482
github,philpapers,-0.0450630490873434
github,stackexchange,-0.27475018473603835
github,enron_emails,0.018158469683273257
github,gutenberg_pg_19,0.037161394971206796
github,pile_cc,0.0347046336539708
github,ubuntu_irc,0.001950903590270678
github,europarl,-0.024408440225688575
github,hackernews,-0.03092896444857596
github,pubmed_abstracts,0.042377780534579794
github,uspto_backgrounds,0.06752413195170023
stackexchange,arxiv,0.09766962279233497
stackexchange,freelaw,0.2631314629662663
stackexchange,nih_exporter,0.023125962060614066
stackexchange,pubmed_central,0.18125388364059805
stackexchange,wikipedia_en,0.12917484012313696
stackexchange,dm_mathematics,0.14825249864591722
stackexchange,github,-0.2851044149715153
stackexchange,philpapers,0.0020756005113278333
stackexchange,stackexchange,-0.6748402268086935
stackexchange,enron_emails,0.07216389275203314
stackexchange,gutenberg_pg_19,0.06494362069626586
stackexchange,pile_cc,0.04523121652712576
stackexchange,ubuntu_irc,0.10853990896099668
stackexchange,europarl,0.03210120219284996
stackexchange,hackernews,-0.012379643879225468
stackexchange,pubmed_abstracts,0.062151336828752596
stackexchange,uspto_backgrounds,0.12107399781440083
gutenberg_pg_19,arxiv,0.1915181738901026
gutenberg_pg_19,freelaw,-0.0711876199292861
gutenberg_pg_19,nih_exporter,0.03172832451124219
gutenberg_pg_19,pubmed_central,0.34893226263991445
gutenberg_pg_19,wikipedia_en,0.08334857093528607
gutenberg_pg_19,dm_mathematics,0.28424591100570784
gutenberg_pg_19,github,0.23072030332659074
gutenberg_pg_19,philpapers,0.032683243992464826
gutenberg_pg_19,stackexchange,0.3105507031838467
gutenberg_pg_19,enron_emails,0.0015015788004161027
gutenberg_pg_19,gutenberg_pg_19,-0.539412669163489
gutenberg_pg_19,pile_cc,-0.1885464289443742
gutenberg_pg_19,ubuntu_irc,0.24550918274412803
gutenberg_pg_19,europarl,0.030336875469604594
gutenberg_pg_19,hackernews,0.04279679461528535
gutenberg_pg_19,pubmed_abstracts,0.1437821965035137
gutenberg_pg_19,uspto_backgrounds,0.16176174416901673
pile_cc,arxiv,0.34367076868073
pile_cc,freelaw,0.14474532553315336
pile_cc,nih_exporter,0.09079354420254097
pile_cc,pubmed_central,0.4203653589304631
pile_cc,wikipedia_en,0.05496443643259561
pile_cc,dm_mathematics,0.431793889716247
pile_cc,github,0.37042351574618987
pile_cc,philpapers,0.17612042063682437
pile_cc,stackexchange,0.3979542784162875
pile_cc,enron_emails,0.08956740224476609
pile_cc,gutenberg_pg_19,0.12561700192575034
pile_cc,pile_cc,-0.4454512861164357
pile_cc,ubuntu_irc,0.29146973403905957
pile_cc,europarl,0.13440034899685302
pile_cc,hackernews,0.18010207842507892
pile_cc,pubmed_abstracts,0.2339817451876121
pile_cc,uspto_backgrounds,0.17771991888740898
ubuntu_irc,arxiv,-0.00286868185476538
ubuntu_irc,freelaw,-0.016608817168501155
ubuntu_irc,nih_exporter,-0.06562744962280859
ubuntu_irc,pubmed_central,0.03547549889224561
ubuntu_irc,wikipedia_en,-0.08860143430706391
ubuntu_irc,dm_mathematics,-0.035558597138637155
ubuntu_irc,github,-0.12221633956632814
ubuntu_irc,philpapers,-0.18990506044220987
ubuntu_irc,stackexchange,0.02365379530226218
ubuntu_irc,enron_emails,-0.1865281442322455
ubuntu_irc,gutenberg_pg_19,-0.05111597038343787
ubuntu_irc,pile_cc,-0.09386644666354678
ubuntu_irc,ubuntu_irc,-0.9216438787473724
ubuntu_irc,europarl,-0.19702124470058494
ubuntu_irc,hackernews,-0.09088864317970713
ubuntu_irc,pubmed_abstracts,-0.02080851538868567
ubuntu_irc,uspto_backgrounds,-0.06397416191188898
hackernews,arxiv,0.346788215872303
hackernews,freelaw,0.0787228479769179
hackernews,nih_exporter,0.029149683131951005
hackernews,pubmed_central,0.3955494828068414
hackernews,wikipedia_en,0.22914948080013933
hackernews,dm_mathematics,0.364902250278544
hackernews,github,0.2204943369826114
hackernews,philpapers,0.08233036518625277
hackernews,stackexchange,0.20149517330712152
hackernews,enron_emails,0.05632672387887236
hackernews,gutenberg_pg_19,0.055439319234512424
hackernews,pile_cc,-0.18762215291826734
hackernews,ubuntu_irc,0.2906055960848135
hackernews,europarl,0.1559215671370614
hackernews,hackernews,-0.4812556251918561
hackernews,pubmed_abstracts,0.1703983063704298
hackernews,uspto_backgrounds,0.19898432469509683
pubmed_abstracts,arxiv,0.09128563652826203
pubmed_abstracts,freelaw,0.13455328239735373
pubmed_abstracts,nih_exporter,-0.03096013088348406
pubmed_abstracts,pubmed_central,-0.23243044010657313
pubmed_abstracts,wikipedia_en,0.11541939278049017
pubmed_abstracts,dm_mathematics,0.28628016542599033
pubmed_abstracts,github,0.2450080041274898
pubmed_abstracts,philpapers,0.1649746415765094
pubmed_abstracts,stackexchange,0.21690877132007952
pubmed_abstracts,enron_emails,0.02095537971375995
pubmed_abstracts,gutenberg_pg_19,0.07017918725105499
pubmed_abstracts,pile_cc,0.07539956790029838
pubmed_abstracts,ubuntu_irc,0.1930933691932456
pubmed_abstracts,europarl,0.04344757410045982
pubmed_abstracts,hackernews,0.10429772389393165
pubmed_abstracts,pubmed_abstracts,-0.5619813830816147
pubmed_abstracts,uspto_backgrounds,-0.035255488029342696
uspto_backgrounds,arxiv,0.12525188031534323
uspto_backgrounds,freelaw,0.09019717986650307
uspto_backgrounds,nih_exporter,-0.012714595144533046
uspto_backgrounds,pubmed_central,0.10896621932173196
uspto_backgrounds,wikipedia_en,0.0627450280584808
uspto_backgrounds,dm_mathematics,0.2598707886286278
uspto_backgrounds,github,0.2617468530528675
uspto_backgrounds,philpapers,0.0798515141705546
uspto_backgrounds,stackexchange,0.24546794496746996
uspto_backgrounds,enron_emails,0.08073584746838525
uspto_backgrounds,gutenberg_pg_19,0.14183315197794286
uspto_backgrounds,pile_cc,0.018854280350898266
uspto_backgrounds,ubuntu_irc,0.20269343377440935
uspto_backgrounds,europarl,0.00994254441929465
uspto_backgrounds,hackernews,0.11985765601113789
uspto_backgrounds,pubmed_abstracts,-0.036368023485075215
uspto_backgrounds,uspto_backgrounds,-0.6813030011429085
