配方域,近邻质量域,排名,加权欧氏距离,秩相关系数
arxiv,commoncrawl,1,0.9215284902568426,0.8060606060606059
arxiv,arxiv,2,1.0944024332468827,0.8181818181818182
arxiv,c4,3,1.2224274775024746,0.8181818181818182
arxiv,stackexchange,4,1.6875266020282724,0.7696969696969697
dm_mathematics,commoncrawl,1,2.8144157041625046,0.5757575757575757
dm_mathematics,c4,2,2.97810583816164,0.5030303030303029
dm_mathematics,arxiv,3,2.999410183062318,0.6242424242424242
dm_mathematics,stackexchange,4,3.0910914603562514,0.3939393939393939
enron_emails,c4,1,0.8243221831965619,0.709090909090909
enron_emails,commoncrawl,2,1.0839020460354571,0.8303030303030302
enron_emails,stackexchange,3,1.1908946697723108,0.7818181818181817
enron_emails,wikipedia,4,1.4674638875699006,0.9393939393939393
europarl,commoncrawl,1,0.8903021382474597,0.5393939393939393
europarl,c4,2,1.0864026897590913,0.6727272727272726
europarl,arxiv,3,1.270262729541343,0.4545454545454545
europarl,stackexchange,4,1.783220700243137,0.5878787878787878
freelaw,commoncrawl,1,0.48756488192746533,0.8909090909090909
freelaw,c4,2,0.8574349100946627,0.5878787878787878
freelaw,arxiv,3,1.0508513319301909,0.9272727272727272
freelaw,stackexchange,4,1.2924654237360047,0.7818181818181817
github,github,1,0.8740319655706706,0.9757575757575757
github,stackexchange,2,2.0818710739694217,0.9030303030303028
github,wikipedia,3,2.2327492558392255,0.8545454545454544
github,c4,4,2.248027176885027,0.8303030303030302
gutenberg_pg_19,commoncrawl,1,1.1142494913283083,0.4424242424242424
gutenberg_pg_19,c4,2,1.307841466326524,0.5272727272727272
gutenberg_pg_19,arxiv,3,1.5438007702804573,0.38181818181818183
gutenberg_pg_19,stackexchange,4,1.970615112609214,0.4787878787878787
hackernews,commoncrawl,1,0.8050311270587895,0.7575757575757575
hackernews,c4,2,0.8905587466166597,0.8787878787878788
hackernews,arxiv,3,1.3477741161540209,0.709090909090909
hackernews,stackexchange,4,1.5876608103714969,0.7696969696969697
nih_exporter,commoncrawl,1,0.792780155243836,0.49090909090909085
nih_exporter,c4,2,0.7942495986954545,0.6363636363636362
nih_exporter,arxiv,3,1.438058835302568,0.32121212121212117
nih_exporter,stackexchange,4,1.5924000455818672,0.5636363636363636
philpapers,commoncrawl,1,0.730367283448618,0.6606060606060605
philpapers,c4,2,1.044587325870119,0.709090909090909
philpapers,arxiv,3,1.1584203322061426,0.6363636363636362
philpapers,stackexchange,4,1.7332488137471556,0.6242424242424242
pile_cc,commoncrawl,1,0.5857056049157142,0.6121212121212121
pile_cc,c4,2,0.6407244669693378,0.7333333333333332
pile_cc,arxiv,3,1.3449090351074404,0.4666666666666666
pile_cc,stackexchange,4,1.5053016621262596,0.6484848484848483
pubmed_abstracts,c4,1,0.7903055889632159,0.8545454545454544
pubmed_abstracts,commoncrawl,2,0.8121412355945604,0.7333333333333332
pubmed_abstracts,arxiv,3,1.4684088362926078,0.5515151515151515
pubmed_abstracts,stackexchange,4,1.579104557356474,0.7333333333333332
pubmed_central,commoncrawl,1,1.2021990827563822,0.7333333333333332
pubmed_central,arxiv,2,1.3305649995808524,0.709090909090909
pubmed_central,c4,3,1.4229666677074226,0.7454545454545454
pubmed_central,stackexchange,4,1.6864533453825525,0.6484848484848483
stackexchange,commoncrawl,1,0.6543410782457961,0.9030303030303028
stackexchange,c4,2,0.7159648695779494,0.9515151515151514
stackexchange,arxiv,3,1.294949216436467,0.8303030303030302
stackexchange,stackexchange,4,1.402559792382368,0.9151515151515152
ubuntu_irc,commoncrawl,1,0.9597579261723888,0.6
ubuntu_irc,arxiv,2,1.1129987280690192,0.5757575757575757
ubuntu_irc,c4,3,1.3209015148090102,0.6363636363636362
ubuntu_irc,stackexchange,4,1.8710494742647081,0.5393939393939393
uspto_backgrounds,commoncrawl,1,0.6142351027069756,0.3939393939393939
uspto_backgrounds,c4,2,0.6248796699305299,0.6121212121212121
uspto_backgrounds,arxiv,3,1.4194085299966384,0.2606060606060606
uspto_backgrounds,stackexchange,4,1.6132315535261212,0.4545454545454545
wikipedia_en,commoncrawl,1,0.5951461859370257,0.9030303030303028
wikipedia_en,c4,2,0.6724050284848176,0.7818181818181817
wikipedia_en,arxiv,3,1.2874791868309694,0.8060606060606059
wikipedia_en,stackexchange,4,1.3179943203540254,0.8787878787878788
